day,month_of_year,continuous_month,Creator,time_to_collection,quantity_monthly,collect_scheduled_month,postal_code,is_peak_season,dependents_qty,month,longitude,week_of_year,timestamp,client_list,latitude,quantity_weekly,quantity_daily,marker_cluster,quantity
7,13,13,0.440650407,11,824,1,T5A 4K7,0,9,1,-113.4077,1,2024-01-07 04:00:00,0.001144234,53.5931,366,2038,500,366
7,14,14,0.440650407,15,855,2,T5A 4K7,0,9,2,-113.4077,6,2024-02-07 04:00:00,0.001144234,53.5931,343,2249,500,343
7,15,15,0.440650407,19,947,3,T5A 4K7,0,9,3,-113.4077,10,2024-03-07 04:00:00,0.001144234,53.5931,341,2497,500,341
7,16,16,0.440650407,-12,935,4,T5A 4K7,0,9,4,-113.4077,14,2024-04-07 03:00:00,0.001144234,53.5931,224,2038,500,224
7,17,17,0.440650407,-14,1150,5,T5A 4K7,0,9,5,-113.4077,19,2024-05-07 03:00:00,0.001144234,53.5931,278,2438,500,278
7,18,18,0.440650407,-11,1503,6,T5A 4K7,1,9,6,-113.4077,23,2024-06-07 03:00:00,0.001144234,53.5931,424,2364,500,424
28,18,18,0.440650407,-1,1503,6,T5A 4K7,1,9,6,-113.4077,26,2024-06-28 03:00:00,0.001144234,53.5931,386,2364,500,386
29,19,19,0.440650407,0,1434,7,T5A 4K7,1,9,7,-113.4077,31,2024-07-29 03:00:00,0.001144234,53.5931,398,2834,500,398
29,20,20,0.440650407,-31,1298,8,T5A 4K7,1,9,8,-113.4077,35,2024-08-29 03:00:00,0.001144234,53.5931,260,2497,500,260
28,21,21,0.440650407,-61,1270,9,T5A 4K7,0,9,9,-113.4077,39,2024-09-28 03:00:00,0.001144234,53.5931,308,2187,500,308
29,22,22,0.440650407,-92,1263,10,T5A 4K7,0,9,10,-113.4077,44,2024-10-29 03:00:00,0.001144234,53.5931,285,2438,500,285
7,11,11,0.440650407,0,592,11,T5C 3E4,0,2,11,-113.4549,45,2023-11-07 04:00:00,0.000963565,53.5996,468,2438,1856,468
7,11,11,0.029027401,0,592,11,T5E 5B9,0,6,11,-113.4465,45,2023-11-07 04:00:00,0.000903342,53.7454,468,2438,353,468
7,11,11,0.440650407,0,592,11,T5A 1X4,0,4,11,-113.4077,45,2023-11-07 04:00:00,0.000963565,53.5931,468,2438,1494,468
7,11,11,0.440650407,0,592,11,T5T 3T5,0,3,11,-113.6579,45,2023-11-07 04:00:00,6.02e-05,53.5185,468,2438,300,468
7,11,11,0.440650407,0,592,11,T5T 3S9,0,1,11,-113.6579,45,2023-11-07 04:00:00,0.000120446,53.5185,468,2438,1242,468
7,12,12,0.440650407,-30,720,12,T5T 3S9,0,1,12,-113.6579,49,2023-12-07 04:00:00,0.000120446,53.5185,553,2497,1242,553
7,11,11,0.440650407,0,592,11,T5Y 3H4,0,5,11,-113.3614,45,2023-11-07 04:00:00,0.000722674,53.6585,468,2438,2004,468
29,14,14,0.440650407,-1,855,2,T5Y 3H4,0,5,2,-113.3614,9,2024-02-29 04:00:00,0.000722674,53.6585,287,2497,2004,287
29,15,15,0.440650407,-3,947,3,T5Y 3H4,0,5,3,-113.3614,13,2024-03-29 03:00:00,0.000722674,53.6585,220,2364,2004,220
29,16,16,0.440650407,0,935,4,T5Y 3H4,0,5,4,-113.3614,18,2024-04-29 03:00:00,0.000722674,53.6585,292,2834,2004,292
